Read ID,Poly(A) end,Adapter end,Leader end,Start end
00ae8d42-5341-4efd-9ad5-c41bf0737cf2,8079,5407,545,391
00d62d33-2641-4427-86b2-007659b43926,6822,4929,2,1
0086f6bc-dbe6-448f-af79-a85571c25409,5979,3552,165,164
012af672-922a-406d-a752-b0d4b73d58a3,6066,4627,832,442
02bf1fd6-ed8d-43dd-aab1-c9f25291f5fb,7584,4290,508,299
0283b3ee-e49b-46e2-afbf-cc223d94c62f,7768,5998,727,270
012158da-d528-4c02-99aa-8857c710da7b,9813,5122,331,133
03451f01-fe1d-473d-a812-3cbaf17b77ef,10192,5888,634,500
04b3fe29-4f2f-415b-9d03-bc51714382f1,8490,5855,5,4
02e1d278-4134-4b20-90ba-e1adcfa0c876,8449,6330,550,311
0741b23d-9d03-4f80-ba92-b8e6e1df73ef,8223,5277,543,383
09f9c943-f9dd-4210-a23f-4553c3069f67,7376,4484,516,220
05570bd6-f58e-4134-a0a8-a7ae88ce5575,7878,4943,544,383
06539736-c499-4f09-afe5-318aac1fe4bb,10108,3085,457,377
01b509b0-a5f2-4b5f-95b2-87b8fd18d035,8491,7104,687,329
0645c9ab-62c5-40d5-bbdd-59577f4ebb1e,6053,3597,477,383
0ad1dfd3-33b3-4a53-9f30-c0f64a8f40a5,7240,4340,295,294
0a8b3212-5db2-4620-b9cc-e653db6a3c9c,16053,13219,2,1
0810e743-10d8-48ac-b0d9-6388731583ff,8035,4517,293,292
0cb0b095-0fc3-4af7-918a-7b52831bc027,211,209,166,165
0cfee47e-4ad6-4b10-a609-3a178c7df352,5187,5183,2,1
0d485f67-dcca-4cc4-8ffd-731d0b886330,7606,3962,346,345
0d7831c7-f5ee-4baa-bbbd-4c5dff8195cf,8161,5692,2,1
0d0b69f6-01c4-4f7c-8233-253254b569b3,9859,6028,667,471
0e100016-cc46-47c8-8c81-90cf437ae023,8254,5230,229,140
0b17caf6-b9b8-4f37-991d-e035084782d9,7751,5756,476,311
0e714126-1d59-4d77-adce-c3f59736495c,6884,5120,2,1
0bed9c69-c7e4-4184-a672-d59c4cfa672a,7325,5558,438,324
0d823f21-0306-45e1-8f42-77872d9a2eab,10088,6358,453,325
1141d6be-897d-4d3b-9ece-d8e55c864f43,5242,3921,558,401
0f7b9f61-5398-4493-9912-ab80276a8e0e,9189,5768,2,1
0f68f683-f65a-4548-952e-e1b6996e1d03,12722,6283,541,259
10d491a8-f6f3-4935-a232-10bd3f4d724f,7768,5467,446,321
0e45df8e-75b4-45f0-995d-cc5062247418,10847,5213,585,403
150061a4-a7b7-4861-a3a9-007b0033fd45,6495,6483,2,1
0d8bf830-ea64-4baf-a30b-85002fe3a36d,23541,12532,448,21
15be7257-41b4-4a4a-830f-d69ed2ab12a9,7855,4848,343,255
1464a44f-9e00-4ccd-ab2d-1364943ac93e,15058,6904,557,556
1357e9d4-d448-4a95-91f6-615d93992c40,14782,14770,480,328
167814a7-97d2-499a-bcb6-706b02598e44,10303,5687,252,251
16baa679-97a1-450a-94a1-d18762ad51c3,9857,5417,403,251
19232795-8bdb-4aee-bd1d-7a95ddf1bf53,8305,5993,746,462
17ffafd5-12eb-44e2-9fc3-fa40075323df,10493,4785,631,455
19cbba68-edba-4363-b0c7-633dd7b55592,10636,5490,485,350
147e7bd1-1a56-49e1-8f07-ca2461559dd2,11918,6791,610,454
1bc75053-210f-4e66-b0eb-44edbfcc0354,8143,5122,643,447
1c6157ac-1b94-4786-a753-416bbdc1e1e6,7838,3989,149,148
1736709a-1ff2-4b85-bccb-d26562ab3c4b,14439,14437,748,356
1ca0da80-f740-4a1d-9ae2-6ca5123cabf0,7502,5505,800,187
1a657e0b-b19c-403b-a3d0-01ee64ce41c8,8696,6468,2,1
155bb351-fd6e-4f97-8c30-54b6e62324c6,11893,5580,295,294
1d7a1d9e-af84-4213-a5ea-91682260b596,7495,4290,714,561
1cb0cf80-e810-4824-b3a8-654d1924f4d1,9813,3699,197,196
178c0969-5ce7-44fc-963c-87531b8388cd,25682,18612,14506,8085
1e78ca0d-ce03-467c-9b66-caf7d1bfe48f,8297,5469,568,469
1b262f99-a8c7-41f3-a4a0-60a7efa1ee38,18408,15989,2,1
1ec2e006-e98b-4fa3-9c27-5c5ccc82cf44,8363,6532,595,213
1feb818e-1b45-41ab-b1b9-24b71a43f574,6547,4250,389,268
20b1e18d-45b7-4905-8162-92dd96c4f264,7713,4852,161,160
1f6183b1-5fcb-4f1e-9a3a-69aa1f5437db,12923,5146,417,320
20f8071e-765a-4026-a33d-690ba44ede49,6580,4134,2,1
1efdea61-f19d-4c3b-9f6d-c608046eb1bc,10122,7054,965,796
1f660f33-560a-428b-aee7-b7a469c438d6,10940,6371,839,568
1ed4fe59-8603-42ad-a614-231b6e67842d,15509,7042,805,620
235e20de-11ed-4eda-a400-b3b23ce428a6,7599,5007,2,1
23eb4e00-aa84-4e76-b565-fc197b895e42,8837,4243,363,273
248b36c6-ab73-452f-bef0-5af1659e3fc1,7372,4285,3,2
1e7f2131-5e37-430b-a841-a8c99db0ee21,14987,9869,817,653
24c1abef-dc4a-4a06-9b43-0bebf2cc2fbe,6379,2721,136,135
202ee71b-3186-4ef6-9dde-ee21ef11f718,11428,8862,679,480
256d9baf-9b54-43d7-aae1-fd2fc6c3ec71,4303,2727,179,127
252ea814-2b3a-481f-a612-cc9b81950cd2,8122,6211,10,9
2496dec2-17a0-4586-a8bf-8cc49db71e98,11412,5838,2,1
24c82378-2919-4917-ba2e-d2ee34c26c21,7725,5007,438,302
23ec8c29-f4a0-4852-8a13-a3a4f686dcdd,9680,4707,323,322
217cb17f-abc9-47df-932a-32a07de44402,11211,9799,406,186
28466475-c226-4240-b935-a47acfa4e526,10619,5669,237,236
23357162-174f-4fe7-8bbe-9cbf9aed6de6,11573,7493,723,470
28cce495-7673-4b22-a922-3f320f948584,11304,7167,2,1
26790ec3-b47a-4881-babd-df89c98bd740,14150,6155,748,408
25c84269-1640-4660-86c4-cb4e54c4f8bf,10792,6232,645,493
28f6d518-1ad4-4e4a-b66a-254243a6e80f,11503,5819,541,380
29ece1bb-3e8f-4cdb-903f-2da4745a159f,10212,4726,2,1
270982f0-b84d-4440-ab39-84c212f2f8e4,14741,9213,731,228
