Read ID,Poly(A) end,Adapter end,Leader end,Start end
01193c59-7fae-4481-8c2a-5c5720cef24b,7330,2983,272,195
01e42282-1821-429d-9d70-2639302a58fa,7344,5431,360,257
0122d099-eabc-46da-b0b7-037e4ddcb344,8879,4905,2,1
05164697-cb39-4fe8-bc47-ba4c8ec0a5fc,8499,6432,906,301
023fe534-2d24-49db-815d-ba06cf932bc0,8497,5832,710,578
012158da-d528-4c02-99aa-8857c710da7b,9813,5122,331,133
020b8b11-df12-427c-b0dd-6b49aa9387e7,10198,5009,279,278
03451f01-fe1d-473d-a812-3cbaf17b77ef,10192,5888,634,500
06539736-c499-4f09-afe5-318aac1fe4bb,10108,3085,457,377
016209f9-55b0-4eb1-8f0b-00db9602cc43,6928,4843,933,790
04094891-5583-407d-8e9f-3d0826b2492e,8987,7163,909,690
07cbdc3f-4ec7-40c4-b7df-01f7076f7457,7351,4840,593,413
08cc7834-1a55-4de3-80a2-bf729a321835,7982,4320,440,301
0d7831c7-f5ee-4baa-bbbd-4c5dff8195cf,8161,5692,2,1
0c62b946-6980-4e0b-a796-4190cb1ca46d,8229,5139,771,582
01b509b0-a5f2-4b5f-95b2-87b8fd18d035,8491,7104,687,329
079764f6-0d34-4a01-a8f1-2e0f12e99a8a,11999,5583,716,622
0b1601fc-8f18-4d94-9596-2800a87114a8,7589,5945,959,651
0e47fadb-a125-4f36-9c79-377dcedac6d2,7561,4383,2,1
0e723d9c-5191-4d6c-9d3e-6b600ca59d3b,7363,5079,715,239
0e11925e-8248-4c59-ba8f-19b3e1373e04,11092,5115,414,301
0ee34693-a2b4-4510-b8ea-ad2d55f4c82f,5978,4971,3,2
0aec38e6-2dba-4c74-9aaf-633e11f31c98,12280,7942,660,514
098688fc-c0a6-4184-ae50-2aa72249d066,8294,6503,607,445
0ede831b-6665-4c5d-bce8-e96d97339fe0,12774,4494,354,353
0d88ca8d-fe5d-4cbc-a6d5-c5e180cd68f2,17150,13228,1510,1032
0c2b85a3-0a59-43a4-b14f-e782fbf00b27,14188,12918,898,630
0ef949d6-7b56-46a8-be03-4bcea8a05f13,7307,5711,249,248
11b7c856-0680-43f2-8d34-8f316e3eea81,6688,5710,610,346
12104e96-50fd-4c6c-a19d-6dee2eba00a2,9994,4879,151,150
11450d5a-e50d-4f54-9d81-441b473fc24a,10031,6555,497,332
